matrix_index,case_tag,partition_name,partition_basis,matrix_convention,geometry_file,simplified_geometry_file,region_id,population,population_rounded,target_population,population_ratio,area_m2,area_sqmi,population_density_per_sqmi,centroid_x,centroid_y,centroid_lon,centroid_lat
1047,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_001047,1798.2484109736013,1798,8432.079434167574,0.213262745567473,19424910.82752,7.5,239.76645479648016,89979.52112859955,26673.106488290145,-76.484476521292,37.23644369847747
1048,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_001048,1565.4318323282805,1565,8432.079434167574,0.1856519313593043,19424910.82752001,7.5000000000000036,208.7242443104373,-2575.2500878878195,26673.10648829015,-77.52906575494559,37.24069735874971
1049,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_001049,3564.889774234366,3565,8432.079434167574,0.4227770625344324,19424910.82752001,7.5000000000000036,475.31863656458194,1832.1199700401517,26673.10648829015,-77.47932163904382,37.24069908096413
1050,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_001050,4478.341981591874,4478,8432.079434167574,0.5311076605190902,19424910.827520017,7.500000000000006,597.1122642122494,19461.60020175203,26673.10648829015,-77.28034554704257,37.2405016872306
1051,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_001051,5698.94392771624,5699,8432.079434167574,0.6758645921459879,4856227.706880004,1.8750000000000016,3039.4367614486587,-259304.555962192,27774.94900277214,-80.42614563918208,37.21529083937161
1052,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_001052,4538.713365695008,4539,8432.079434167574,0.538267387200329,4856227.706880004,1.8750000000000016,2420.647128370669,-257100.87093322803,27774.94900277214,-80.40129289726002,37.21588904069789
1053,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_001053,3528.985046005315,3529,8432.079434167574,0.4185189517671688,4856227.706880004,1.8750000000000016,1882.1253578695,-224045.59549876823,27774.94900277214,-80.02845772534963,37.22424987009023
1054,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_001054,4745.296694970383,4745,8432.079434167574,0.5627670768543757,4856227.706880004,1.8750000000000016,2530.824903984202,-221841.91046980425,27774.94900277214,-80.00359925911779,37.2247664411976
1055,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_001055,1591.9867716097594,1592,8432.079434167574,0.1888012066346149,4856227.706880006,1.8750000000000024,849.059611525204,5137.647513486129,27774.94900277214,-77.44200611063474,37.25062955515678
1056,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_001056,6741.998347215084,6742,8432.079434167574,0.7995653266614018,4856227.706880006,1.8750000000000024,3595.732451848041,7341.332542450114,27774.94900277214,-77.41713087106103,37.25061509326487
1057,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_001057,5257.188651486028,5257,8432.079434167574,0.6234747540664061,4856227.706880004,1.8750000000000016,2803.8339474592126,13952.387629342067,27774.94900277214,-77.34250523107909,37.25054106141887
1058,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_001058,1954.958446988746,1955,8432.079434167574,0.2318477265604343,4856227.706880004,1.8750000000000016,1042.6445050606635,16156.072658306051,27774.94900277214,-77.31763005493939,37.250506168762456
1059,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_001059,2035.05784818004,2035,8432.079434167574,0.2413470916715745,4856227.706880008,1.8750000000000029,1085.3641856960196,9545.0175714141,27774.949002772144,-77.39225564242227,37.25059552367526
1060,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_001060,557.5756377281153,558,8432.079434167574,0.0661255200548475,4856227.706880004,1.8750000000000016,297.3736734549946,11748.702600378085,27774.949002772144,-77.36738042800083,37.250570846391696
1061,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_001061,5.990332170938679,6,8432.079434167574,0.0007104216958233,849697.144942878,0.3280699017697986,18.2593165012193,-454967.0696930901,29199.419355015925,-82.63172417483226,37.15469649694018
1062,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_001062,650.2031535756046,650,8432.079434167574,0.077110653267914,1214056.926719987,0.468749999999995,1387.1000609613045,-259855.477219433,29427.712774495136,-80.43292343309842,37.23004769900474
1063,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_001063,5153.180688441287,5153,8432.079434167574,0.6111399600388153,1214056.926720019,0.4687500000000073,10993.45213534124,-258753.63470495105,29427.712774495136,-80.42049476831237,37.23034813068488
1064,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_001064,211.75651369448053,212,8432.079434167574,0.0251132019506864,15874437.310093964,6.1291545110740175,34.549057836914315,-361203.3991539741,29862.703761508903,-81.57585737100179,37.20088356050323
1065,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_001065,4830.426706423067,4830,8432.079434167574,0.5728630457215247,4856227.706880004,1.8750000000000016,2576.227576758967,-257100.870933228,29978.63403173613,-80.40203786981361,37.235765478672064
1066,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_001066,4760.5279410925,4761,8432.079434167574,0.5645734220437245,4856227.706880004,1.8750000000000016,2538.948235249331,-224045.59549876823,29978.63403173613,-80.02910705753122,37.2441283777873
1067,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_001067,5524.666541018034,5525,8432.079434167574,0.6551962163249517,4856227.706880004,1.8750000000000016,2946.488821876282,-221841.91046980425,29978.63403173613,-80.00424221312718,37.24464507677266
1068,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_001068,4015.851022243869,4016,8432.079434167574,0.4762586801508612,4856227.706880004,1.8750000000000016,2141.787211863395,-219638.22544084027,29978.63403173613,-79.97937703847556,37.24515667172757
1069,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_001069,5057.067660070051,5057,8432.079434167574,0.5997414634850735,4856227.706880004,1.8750000000000016,2697.102752037358,-217434.5404118763,29978.63403173613,-79.9545115368483,37.24566316255439
1070,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_001070,1731.3935359769578,1731,8432.079434167574,0.2053341111756122,4856227.706880004,1.8750000000000016,923.4098858543769,-215230.85538291236,29978.63403173613,-79.92964571151751,37.246164549156575
1071,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_001071,2000.8534720532016,2001,8432.079434167574,0.2372906336657072,4856227.706880004,1.8750000000000016,1067.1218517617067,-213027.1703539483,29978.63403173613,-79.90477956575563,37.24666083143847
1072,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_001072,507.3508978973541,507,8432.079434167574,0.0601691316902828,4856227.706880004,1.8750000000000016,270.5871455452553,-210823.48532498436,29978.63403173613,-79.87991310283533,37.24715200930544
1073,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_001073,95.65380311090117,96,8432.079434167574,0.011344034867995,4856227.706880004,1.8750000000000016,51.01536165914724,-208619.80029602037,29978.63403173613,-79.85504632602952,37.24763808266379
1074,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_001074,140.17763387766126,140,8432.079434167574,0.0166243255856495,4856227.706880004,1.8750000000000016,74.76140473475262,13952.387629342067,29978.63403173613,-77.34246476659064,37.270426077670194
1075,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_001075,4695.24054205949,4695,8432.079434167574,0.5568306820063786,4856227.706880004,1.8750000000000016,2504.1282890983925,16156.072658306051,29978.63403173613,-77.3175831994016,37.27039117637573
1076,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_001076,2658.491137794432,2658,8432.079434167574,0.3152829807345003,4856227.706880004,1.8750000000000016,1417.861940157029,66840.8283244777,29978.63403173613,-76.74532044914672,37.26817840458705
1077,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_001077,6135.481741280318,6135,8432.079434167574,0.7276356667631442,4856227.706880004,1.8750000000000016,3272.2569286828334,69044.5133534417,29978.63403173613,-76.72044036649609,37.2680208927787
1078,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_001078,1628.0253488521294,1628,8432.079434167574,0.1930751911865557,4856227.706880004,1.8750000000000016,868.2801860544682,71248.19838240565,29978.63403173613,-76.6955603867536,37.26785827248117
1079,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_001079,4913.643989761436,4914,8432.079434167574,0.5827321751560939,4856227.706880004,1.8750000000000016,2620.6101278727638,73451.88341136965,29978.63403173613,-76.67068051320288,37.26769054372542
1080,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_001080,3892.0385186358367,3892,8432.079434167574,0.4615751724141654,1214056.926720015,0.4687500000000058,8303.015506423017,-258753.63470495105,30529.555288977128,-80.420869740994,37.240286247496975
1081,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_001081,2857.623615280497,2858,8432.079434167574,0.3388990387947651,1214056.9267199829,0.4687499999999934,6096.26371259848,-259855.477219433,30529.55528897713,-80.43329999959221,37.23998577863768
1082,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_001082,59.7373398151655,60,8432.079434167574,0.0070845323839223,25214312.36577086,9.735300430587614,6.136157814655116,-371935.28234043566,30782.73961268475,-81.69725735343367,37.20504294746734
1083,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_001083,297.0537899219204,297,8432.079434167574,0.0352290075349896,34016666.70075693,13.13390843958119,22.61731846909333,-448980.5391090479,31074.23468497077,-82.56542907042935,37.1744340884948
1084,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_001084,1000.3953607502184,1000,8432.079434167574,0.1186415958911063,19424910.82752,7.5,133.38604810002911,-253795.3433897821,31080.476546218124,-80.36511632728761,37.24659169455139
1085,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_001085,971.6223382860016,972,8432.079434167574,0.1152292676879794,19424910.82752,7.5,129.5496451048002,-231758.4931001422,31080.476546218124,-80.11646732123343,37.25221869344513
1086,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_001086,5890.252536280678,5890,8432.079434167574,0.6985527807545105,19424910.82752,7.5,785.3670048374238,-227351.12304221425,31080.476546218124,-80.06673327413891,37.253282846052365
1087,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_001087,594.7388137141618,595,8432.079434167574,0.0705328760666348,19424910.82752,7.5,79.29850849522157,-161240.5721732947,31080.476546218124,-79.32057472930425,37.26679459908416
1088,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_001088,1072.2702960602926,1072,8432.079434167574,0.1271655828709764,19424910.82752,7.5,142.96937280803903,-156833.20211536673,31080.476546218124,-79.2708221585258,37.267531982393365
1089,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_001089,8578.58063544559,8579,8432.079434167574,1.0173742672162671,19424910.82752001,7.5000000000000036,1143.8107513927448,6239.4900279681215,31080.476546218124,-77.42954134263958,37.28045044734464
1090,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_001090,7291.023243212979,7291,8432.079434167574,0.8646767739958747,19424910.82752001,7.5000000000000036,972.1364324283968,10646.860085896093,31080.476546218124,-77.37977171045074,37.280411293632255
1091,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_001091,8879.583335600531,8880,8432.079434167574,1.053071594608043,19424910.827520017,7.500000000000006,1183.9444447467365,19461.60020175203,31080.476546218124,-77.28023266288452,37.28027167119458
1092,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_001092,1543.500324992899,1544,8432.079434167574,0.1830509706465159,19424910.82752,7.5,205.80004333238656,59127.93072310375,31080.476546218124,-76.83231573128522,37.27863168923639
1093,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_001093,9023.406600772978,9023,8432.079434167574,1.070128272773296,19424910.82752,7.5,1203.1208801030637,63535.30078103172,31080.476546218124,-76.7825485961703,37.278347281722965
1094,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_001094,2104.889762269911,2105,8432.079434167574,0.2496287871459916,19424910.82752,7.5,280.6519683026548,85572.15107067156,31080.476546218124,-76.53371913029721,37.27661869737541
1095,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_001095,4580.174895725357,4580,8432.079434167574,0.5431845052557333,19424910.82752,7.5,610.6899860967143,89979.52112859955,31080.476546218124,-76.48395466300606,37.27621167299648
1096,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_001096,370.6705201735125,371,8432.079434167574,0.0439595621776902,47229200.38125321,18.23529621343557,20.327090705573863,-325960.7028393855,31689.45335147664,-81.17936097869418,37.23008463256995
1097,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_001097,760.4360494990925,760,8432.079434167574,0.0901836913938138,54434233.73232846,21.01717514265604,36.18164878665006,-352324.3316958045,32177.765407219835,-81.47685116658481,37.22508622552718
1098,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_001098,4271.071960600224,4271,8432.079434167574,0.5065265328613298,4856227.706879996,1.8749999999999984,2277.905045653455,-259304.555962192,32182.31906070012,-80.42764871764426,37.25504323158252
1099,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_001099,3375.5707310129173,3376,8432.079434167574,0.4003248258472032,4856227.706879996,1.8749999999999984,1800.3043898735575,-257100.87093322803,32182.31906070012,-80.40278322492796,37.25564172907925
1100,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_001100,2282.6607875785985,2283,8432.079434167574,0.2707114900185882,4856227.706879996,1.8749999999999984,1217.419086708587,-224045.59549876823,32182.31906070012,-80.02975672323205,37.26400669796029
1101,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_001101,3802.059152637835,3802,8432.079434167574,0.4509040957597643,4856227.706879996,1.8749999999999984,2027.764881406847,-221841.91046980428,32182.31906070012,-80.00488549738415,37.26452352482633
1102,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_001102,7858.350403557062,7858,8432.079434167574,0.9319587730298522,4856227.706879996,1.8749999999999984,4191.120215230437,-219638.22544084027,32182.31906070012,-79.98001394103424,37.26503524639875
1103,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_001103,7687.395617994689,7687,8432.079434167574,0.9116844401209794,4856227.706879996,1.8749999999999984,4099.944329597171,-217434.54041187628,32182.31906070012,-79.95514205745671,37.26554186258
1104,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_001104,7918.675792362285,7919,8432.079434167574,0.9391130449121566,4856227.706879996,1.8749999999999984,4223.2937559265565,-215230.85538291227,32182.31906070012,-79.93026984992626,37.26604337327337
1105,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_001105,2836.7936190879054,2837,8432.079434167574,0.3364287114745329,4856227.706879996,1.8749999999999984,1512.9565968468844,-213027.17035394837,32182.31906070012,-79.90539732171783,37.26653977838327
1106,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_001106,3817.2762920394807,3817,8432.079434167574,0.4527087679667154,4856227.706879996,1.8749999999999984,2035.880689087725,-210823.4853249844,32182.31906070012,-79.88052447610657,37.267031077815005
1107,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_001107,1641.2653975640528,1641,8432.079434167574,0.1946453909000776,4856227.706879996,1.8749999999999984,875.3415453674957,-208619.80029602037,32182.31906070012,-79.85565131636795,37.26751727147488
1108,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_001108,1008.4203827387414,1008,8432.079434167574,0.1195933210321202,4856227.706879996,1.8749999999999984,537.8242041273293,13952.38762934207,32182.31906070012,-77.34242428130413,37.290310906532746
1109,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_001109,5626.367854841588,5626,8432.079434167574,0.66725745396124,4856227.706879996,1.8749999999999984,3000.729522582183,16156.072658306051,32182.31906070012,-77.31753631978087,37.290275996600016
1110,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_001110,2600.608209690375,2601,8432.079434167574,0.3084183717663365,4856227.706879996,1.8749999999999984,1386.9910451682017,66840.82832447768,32182.31906070012,-76.74512651009142,37.28806267713957
1111,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_001111,4157.21117239928,4157,8432.079434167574,0.4930232459094102,4856227.706879996,1.8749999999999984,2217.179291946285,69044.51335344168,32182.31906070012,-76.72024003425135,37.28790512634637
